F3;158;316;159;1;157;157;0.5
F1;166;316;159;11;157;155;0.5253164556962026
Fz;159;316;159;45;157;114;0.5031645569620253
F2;148;316;159;12;157;136;0.46835443037974683
F4;159;316;159;2;157;157;0.5031645569620253
FC5;166;316;159;54;157;112;0.5253164556962026
FC3;164;316;159;48;157;116;0.5189873417721519
FC1;144;316;159;57;157;87;0.45569620253164556
FCz;155;316;159;11;157;144;0.49050632911392406
FC2;163;316;159;18;157;145;0.5158227848101266
FC4;161;316;159;93;157;68;0.509493670886076
FC6;142;316;159;15;157;127;0.44936708860759494
C5;172;316;159;98;157;74;0.5443037974683544
C3;144;316;159;19;157;125;0.45569620253164556
C1;155;316;159;102;157;53;0.49050632911392406
Cz;165;316;159;35;157;130;0.5221518987341772
C2;157;316;159;4;157;153;0.49683544303797467
C4;159;316;159;78;157;81;0.5031645569620253
C6;156;316;159;2;157;154;0.4936708860759494
CP5;163;316;159;157;157;6;0.5158227848101266
CP3;162;316;159;15;157;147;0.5126582278481012
CP1;158;316;159;7;157;151;0.5
CPz;154;316;159;32;157;122;0.4873417721518987
CP2;161;316;159;69;157;92;0.509493670886076
CP4;155;316;159;50;157;105;0.49050632911392406
CP6;160;316;159;28;157;132;0.5063291139240507
O1;155;316;159;42;157;113;0.49050632911392406
O2;157;316;159;137;157;20;0.49683544303797467
