F3;144;316;159;76;157;68;0.45569620253164556
F1;163;316;159;147;157;16;0.5158227848101266
Fz;171;316;159;77;157;94;0.5411392405063291
F2;163;316;159;76;157;87;0.5158227848101266
F4;167;316;159;64;157;103;0.5284810126582279
FC5;156;316;159;116;157;40;0.4936708860759494
FC3;149;316;159;73;157;76;0.47151898734177217
FC1;161;316;159;44;157;117;0.509493670886076
FCz;176;316;159;59;157;117;0.5569620253164557
FC2;155;316;159;5;157;150;0.49050632911392406
FC4;165;316;159;19;157;146;0.5221518987341772
FC6;169;316;159;99;157;70;0.5348101265822784
C5;154;316;159;33;157;121;0.4873417721518987
C3;169;316;159;67;157;102;0.5348101265822784
C1;165;316;159;20;157;145;0.5221518987341772
Cz;156;316;159;2;157;154;0.4936708860759494
C2;164;316;159;98;157;66;0.5189873417721519
C4;159;316;159;59;157;100;0.5031645569620253
C6;172;316;159;55;157;117;0.5443037974683544
CP5;160;316;159;111;157;49;0.5063291139240507
CP3;158;316;159;1;157;157;0.5
CP1;155;316;159;10;157;145;0.49050632911392406
CPz;166;316;159;138;157;28;0.5253164556962026
CP2;164;316;159;53;157;111;0.5189873417721519
CP4;157;316;159;0;157;157;0.49683544303797467
CP6;168;316;159;59;157;109;0.5316455696202531
O1;156;316;159;13;157;143;0.4936708860759494
O2;153;316;159;3;157;150;0.48417721518987344
